"Label","Лейбл"
"Labels","Лейблы"
"Custom","Другой"
"No","Нет"
"Position","Расположение"
"Top left","Вверху слева"
"Top right","Вверху справа"
"Bottom right","Внизу справа"
"Bottom left","Внизу слева"
"Center","По центру"
"Change label","Изменить лейбл"
"Display for","Показывать на странице"
"Product & Category","Товара и категории"
"Product","Товара"
"Category","Категории"
"This label will be added to product's Label options","Эти настройки используются если для товара установлен этот лейбл"
"Will be shown on product management page","Будет показано на странице управления товарами"
"Label #1 Settings","Настройки 1-го лейбла"
"Label #2 Settings","Настройки 2-го лейбла"
"Label #3 Settings","Настройки 3-го лейбла"
"Label #4 Settings","Настройки 4-го лейбла"
"Show Label on this page","Показывать лейблы только на этих страницах"
"Default label image","Картинка лейбла"
"Label position on product image","Расположение лейбла на изображении товара"
